"Package","LibPath","Version","GithubRepo","GithubUsername","GithubRef","GithubSHA1"
"abind","/home/achubaty/.local/share/R/LandWeb/packages/x86_64-pc-linux-gnu/4.2","1.4-5",NA,NA,NA,NA
"amc","/home/achubaty/.local/share/R/LandWeb/packages/x86_64-pc-linux-gnu/4.2","0.2.1","amc","achubaty","development","3330753132d4dca15011e4e64db5ccea28e3b8c4"
"animation","/home/achubaty/.local/share/R/LandWeb/packages/x86_64-pc-linux-gnu/4.2","2.7",NA,NA,NA,NA
"archive","/home/achubaty/.local/share/R/LandWeb/packages/x86_64-pc-linux-gnu/4.2","1.1.5",NA,NA,NA,NA
"arm","/home/achubaty/.local/share/R/LandWeb/packages/x86_64-pc-linux-gnu/4.2","1.13-1",NA,NA,NA,NA
"askpass","/home/achubaty/.local/share/R/LandWeb/packages/x86_64-pc-linux-gnu/4.2","1.1",NA,NA,NA,NA
"assertthat","/home/achubaty/.local/share/R/LandWeb/packages/x86_64-pc-linux-gnu/4.2","0.2.1",NA,NA,NA,NA
"backports","/home/achubaty/.local/share/R/LandWeb/packages/x86_64-pc-linux-gnu/4.2","1.4.1",NA,NA,NA,NA
"base64enc","/home/achubaty/.local/share/R/LandWeb/packages/x86_64-pc-linux-gnu/4.2","0.1-3",NA,NA,NA,NA
"BH","/home/achubaty/.local/share/R/LandWeb/packages/x86_64-pc-linux-gnu/4.2","1.81.0-1",NA,NA,NA,NA
"bit","/home/achubaty/.local/share/R/LandWeb/packages/x86_64-pc-linux-gnu/4.2","4.0.5",NA,NA,NA,NA
"bit64","/home/achubaty/.local/share/R/LandWeb/packages/x86_64-pc-linux-gnu/4.2","4.0.5",NA,NA,NA,NA
"bitops","/home/achubaty/.local/share/R/LandWeb/packages/x86_64-pc-linux-gnu/4.2","1.0-7",NA,NA,NA,NA
"blme","/home/achubaty/.local/share/R/LandWeb/packages/x86_64-pc-linux-gnu/4.2","1.0-5",NA,NA,NA,NA
"blob","/home/achubaty/.local/share/R/LandWeb/packages/x86_64-pc-linux-gnu/4.2","1.2.3",NA,NA,NA,NA
"bookdown","/home/achubaty/.local/share/R/LandWeb/packages/x86_64-pc-linux-gnu/4.2","0.34",NA,NA,NA,NA
"brew","/home/achubaty/.local/share/R/LandWeb/packages/x86_64-pc-linux-gnu/4.2","1.0-8",NA,NA,NA,NA
"brio","/home/achubaty/.local/share/R/LandWeb/packages/x86_64-pc-linux-gnu/4.2","1.1.3",NA,NA,NA,NA
"broom","/home/achubaty/.local/share/R/LandWeb/packages/x86_64-pc-linux-gnu/4.2","1.0.3",NA,NA,NA,NA
"broom.mixed","/home/achubaty/.local/share/R/LandWeb/packages/x86_64-pc-linux-gnu/4.2","0.2.9.4",NA,NA,NA,NA
"bslib","/home/achubaty/.local/share/R/LandWeb/packages/x86_64-pc-linux-gnu/4.2","0.4.2",NA,NA,NA,NA
"cachem","/home/achubaty/.local/share/R/LandWeb/packages/x86_64-pc-linux-gnu/4.2","1.0.7",NA,NA,NA,NA
"callr","/home/achubaty/.local/share/R/LandWeb/packages/x86_64-pc-linux-gnu/4.2","3.7.3",NA,NA,NA,NA
"car","/home/achubaty/.local/share/R/LandWeb/packages/x86_64-pc-linux-gnu/4.2","3.1-1",NA,NA,NA,NA
"carData","/home/achubaty/.local/share/R/LandWeb/packages/x86_64-pc-linux-gnu/4.2","3.0-5",NA,NA,NA,NA
"checkmate","/home/achubaty/.local/share/R/LandWeb/packages/x86_64-pc-linux-gnu/4.2","2.1.0",NA,NA,NA,NA
"CircStats","/home/achubaty/.local/share/R/LandWeb/packages/x86_64-pc-linux-gnu/4.2","0.2-6",NA,NA,NA,NA
"classInt","/home/achubaty/.local/share/R/LandWeb/packages/x86_64-pc-linux-gnu/4.2","0.4-8",NA,NA,NA,NA
"cli","/home/achubaty/.local/share/R/LandWeb/packages/x86_64-pc-linux-gnu/4.2","3.6.0",NA,NA,NA,NA
"clipr","/home/achubaty/.local/share/R/LandWeb/packages/x86_64-pc-linux-gnu/4.2","0.8.0",NA,NA,NA,NA
"coda","/home/achubaty/.local/share/R/LandWeb/packages/x86_64-pc-linux-gnu/4.2","0.19-4",NA,NA,NA,NA
"colorspace","/home/achubaty/.local/share/R/LandWeb/packages/x86_64-pc-linux-gnu/4.2","2.1-0",NA,NA,NA,NA
"commonmark","/home/achubaty/.local/share/R/LandWeb/packages/x86_64-pc-linux-gnu/4.2","1.8.1",NA,NA,NA,NA
"corrplot","/home/achubaty/.local/share/R/LandWeb/packages/x86_64-pc-linux-gnu/4.2","0.92",NA,NA,NA,NA
"cowplot","/home/achubaty/.local/share/R/LandWeb/packages/x86_64-pc-linux-gnu/4.2","1.1.1",NA,NA,NA,NA
"cpp11","/home/achubaty/.local/share/R/LandWeb/packages/x86_64-pc-linux-gnu/4.2","0.4.3",NA,NA,NA,NA
"crayon","/home/achubaty/.local/share/R/LandWeb/packages/x86_64-pc-linux-gnu/4.2","1.5.2",NA,NA,NA,NA
"credentials","/home/achubaty/.local/share/R/LandWeb/packages/x86_64-pc-linux-gnu/4.2","1.3.2",NA,NA,NA,NA
"crosstalk","/home/achubaty/.local/share/R/LandWeb/packages/x86_64-pc-linux-gnu/4.2","1.2.0",NA,NA,NA,NA
"curl","/home/achubaty/.local/share/R/LandWeb/packages/x86_64-pc-linux-gnu/4.2","5.0.0",NA,NA,NA,NA
"data.table","/home/achubaty/.local/share/R/LandWeb/packages/x86_64-pc-linux-gnu/4.2","1.14.8",NA,NA,NA,NA
"DBI","/home/achubaty/.local/share/R/LandWeb/packages/x86_64-pc-linux-gnu/4.2","1.1.3",NA,NA,NA,NA
"deldir","/home/achubaty/.local/share/R/LandWeb/packages/x86_64-pc-linux-gnu/4.2","1.0-6",NA,NA,NA,NA
"desc","/home/achubaty/.local/share/R/LandWeb/packages/x86_64-pc-linux-gnu/4.2","1.4.2",NA,NA,NA,NA
"details","/home/achubaty/.local/share/R/LandWeb/packages/x86_64-pc-linux-gnu/4.2","0.3.0",NA,NA,NA,NA
"diffobj","/home/achubaty/.local/share/R/LandWeb/packages/x86_64-pc-linux-gnu/4.2","0.3.5",NA,NA,NA,NA
"digest","/home/achubaty/.local/share/R/LandWeb/packages/x86_64-pc-linux-gnu/4.2","0.6.31",NA,NA,NA,NA
